2013 Field Season,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Species: DM,,,,,Species: DO,,,,,Species: DS,,,,,,,,,,,,,,,
Date_Collected,Plot,Sex,Weight,,Date_Collected,Plot,Sex,Weight,,Date_Collected,Plot,Sex,Weight,,,,,,,,,,,,
7/16/13,2,F,,,8/19/13,8,F,52,,11/12/13,9,F,117,,,,,,,,,,,,
7/16/13,7,M,33g,,10/17/13,3,F,33,,11/13/13,11,F,126,,,,,,,,,,,,
7/16/13,3,M,,,10/17/13,3,F,50,,11/13/13,17,M,132 (scale not calibrated),,,,,,,,,,,,
7/16/13,1,M,,,12/10/13,9,F,40,,11/13/13,14,F,113 (scale not callibtrated),,,,,,,,,,,,
7/18/13,3,M,40g,,12/10/13,1,M,45,,11/13/13,11,F,122,,,,,,,,,,,,
7/18/13,7,M,48g,,12/11/13,8,F,41,,11/13/13,4,F,107,,,,,,,,,,,,
7/18/13,4,F,29g,,,,,,,11/13/13,4,F,115,,,,,,,,,,,,
7/18/13,6,F,37g,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2014 Field Season,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Species: DM,,,,,,,,,,,,,,,,,,,,,,,,,
Date_Collected,Plot,Sex,Weight,,,,,,,,,,,,,,,,,,,,,,
1/9/14,1,M,40,,,,,,,,,,,,,,,,,,,,,,
1/9/14,1,F,36,,,,,,,,,,,,,,,,,,,,,,
3/13/14,1,F,51,,,,,,,,,,,,,,,,,,,,,,
3/13/14,1,F,44,,,,,,,,,,,,,,,,,,,,,,
1/8/14,2,M,44,,,,,,,,,,,,,,,,,,,,,,
1/8/14,2,M,45,,,,,,,,,,,,,,,,,,,,,,
2/18/14,2,M,52,,,,,,,,,,,,,,,,,,,,,,
1/8/78,4,F,37,,,,,,,,,,,,,,,,,,,,,,
1/8/78,4,M,,,,,,,,,,,,,,,,,,,,,,,
1/8/78,4,F,48,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,gray cell means my measurement device wasn't calibrated correctly,,,,,,,,,,,,,,,,,,,,,,,,
